"Descricao_do_cargo.emprego","Nome_orgao_de_origem","UF_da_UPAG_de_vinculacao","Cidade_da_residencia","Nivel_escolaridade","Ano_Mes_inicio_afastamento","Ano_Mes_referencia","Valor_rendimento_liquido","Descricao_do_afastamento","Ano_inicio_afastamento","Mes_inicio_afastamento","Rendimento_Liquido_Hora"
"BIBLIOTECARIO-DOCUMENTALISTA            ","UNIV. FEDERAL RURAL DO RIO DE JANEIRO   ","RJ","NOVA IGUACU                   ","NS",2021-03-01,2021-04-01,7587.42,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",45.1632142857143
"PROFESSOR ENS BASICO TECN TECNOLOGICO   ","CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS  ","MG","BELO HORIZONTE                ","NS",2021-02-01,2021-04-01,17824.32,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",106.097142857143
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIVERS. TECNOLOGICA FEDERAL DO PARANA  ","PR","CAMPO MOURAO                  ","NS",2021-02-01,2021-04-01,14387.88,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",85.6421428571429
"PSICOLOGO-AREA                          ","UNIVERSIDADE FEDERAL DE SAO PAULO       ","SP","CACAPAVA                      ","NS",2021-01-01,2021-04-01,9891.74,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",58.8794047619048
"PROFESSOR DO MAGISTERIO SUPERIOR        ","UNIV.FED. DA INTEGRACAO LATINO-AMERICANA","PR","FOZ DO IGUACU                 ","NS",2021-02-01,2021-04-01,13065.48,"Afas. Part.Prog.Trein. (Congr) Fora  País C/Ônus Limit - EST","2021","02",77.7707142857143
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-02-01,2021-04-01,22852.88,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",136.029047619048
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-03-01,2021-04-01,20326.17,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",120.989107142857
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-03-01,2021-04-01,14865,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",88.4821428571429
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-01-01,2021-04-01,14555.29,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",86.638630952381
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-03-01,2021-04-01,23258.88,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",138.445714285714
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-02-01,2021-04-01,21560.6,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",128.336904761905
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-02-01,2021-04-01,20674.67,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",123.063511904762
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-02-01,2021-04-01,19902.96,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",118.47
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-01-01,2021-04-01,17448.18,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",103.858214285714
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-02-01,2021-04-01,20145.24,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",119.912142857143
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-02-01,2021-04-01,21338.35,"Afas. Missão Exterior Com Ônus - EST","2021","02",127.013988095238
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-03-01,2021-04-01,15337,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","03",91.2916666666667
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-01-01,2021-04-01,15974.67,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",95.0873214285714
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIVERSIDADE DE BRASILIA       ","DF","BRASILIA                      ","NS",2021-02-01,2021-04-01,15880.29,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","02",94.5255357142857
"PROFESSOR DO MAGISTERIO SUPERIOR        ","FUNDACAO UNIV. FEDERAL DE OURO PRETO    ","MG","DIONISIO                      ","NS",2021-01-01,2021-04-01,13221.01,"Afas. Missão Exterior Com Ônus Limitado - EST","2021","01",78.6964880952381
